,postseason,home_team_score,visitor_team_score,home_win,home_name,visitor_name,home_abbrev,visitor_abbrev,home_avg_points,home_avg_points_allowed,home_avg_difference,home_wins_percent,away_avg_points,away_avg_points_allowed,away_avg_difference,away_wins_percent,date
112,False,136,107,1,Boston Celtics,Washington Wizards,BOS,WAS,110.5,109.625,0.875,0.375,112.57142857142857,127.0,-14.42857142857143,0.14285714285714285,2025-11-05
113,False,137,114,1,New York Knicks,Minnesota Timberwolves,NYK,MIN,116.28571428571429,113.57142857142857,2.7142857142857224,0.5714285714285714,116.85714285714286,115.57142857142857,1.2857142857142918,0.5714285714285714,2025-11-05
114,False,109,124,0,Memphis Grizzlies,Houston Rockets,MEM,HOU,115.5,120.375,-4.875,0.375,124.83333333333333,112.16666666666667,12.666666666666657,0.6666666666666666,2025-11-05
115,False,99,101,0,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,107.28571428571429,115.57142857142857,-8.285714285714278,0.2857142857142857,108.85714285714286,123.85714285714286,-15.0,0.14285714285714285,2025-11-05
116,False,122,112,1,Denver Nuggets,Miami Heat,DEN,MIA,125.0,113.83333333333333,11.166666666666671,0.6666666666666666,123.85714285714286,117.0,6.857142857142861,0.5714285714285714,2025-11-05
117,False,118,116,1,Los Angeles Lakers,San Antonio Spurs,LAL,SAS,119.75,116.625,3.125,0.75,118.16666666666667,108.16666666666667,10.0,0.8333333333333334,2025-11-05
118,False,121,119,1,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,120.28571428571429,117.57142857142857,2.7142857142857224,0.5714285714285714,122.625,109.375,13.25,1.0,2025-11-05
119,False,121,116,1,Sacramento Kings,Golden State Warriors,SAC,GSW,116.28571428571429,121.0,-4.714285714285708,0.2857142857142857,117.625,114.625,3.0,0.625,2025-11-05
120,False,115,102,1,Phoenix Suns,LA Clippers,PHX,LAC,116.875,120.25,-3.375,0.375,111.71428571428571,115.14285714285714,-3.4285714285714306,0.42857142857142855,2025-11-06
121,False,123,110,1,Orlando Magic,Boston Celtics,ORL,BOS,116.25,117.625,-1.375,0.375,113.33333333333333,109.33333333333333,4.0,0.4444444444444444,2025-11-07
122,False,114,148,0,Washington Wizards,Cleveland Cavaliers,WAS,CLE,111.875,128.125,-16.25,0.125,116.375,114.75,1.625,0.625,2025-11-07
123,False,97,109,0,Atlanta Hawks,Toronto Raptors,ATL,TOR,116.625,117.375,-0.75,0.5,120.5,118.0,2.5,0.5,2025-11-07
124,False,107,125,0,Brooklyn Nets,Detroit Pistons,BKN,DET,111.875,124.5,-12.625,0.125,115.625,111.25,4.375,0.75,2025-11-07
125,False,121,110,1,San Antonio Spurs,Houston Rockets,SAS,HOU,117.85714285714286,109.57142857142857,8.285714285714292,0.7142857142857143,124.71428571428571,111.71428571428571,13.0,0.7142857142857143,2025-11-07
126,False,126,108,1,Miami Heat,Charlotte Hornets,MIA,CHA,122.375,117.625,4.75,0.5,120.375,120.375,0.0,0.375,2025-11-07
127,False,118,104,1,Memphis Grizzlies,Dallas Mavericks,MEM,DAL,114.77777777777777,120.77777777777777,-6.0,0.3333333333333333,106.25,113.75,-7.5,0.25,2025-11-07
128,False,126,110,1,Milwaukee Bucks,Chicago Bulls,MIL,CHI,119.875,119.125,0.75,0.625,120.42857142857143,115.57142857142857,4.857142857142861,0.8571428571428571,2025-11-07
129,False,137,97,1,Minnesota Timberwolves,Utah Jazz,MIN,UTA,116.5,118.25,-1.75,0.5,114.0,118.0,-4.0,0.375,2025-11-07
130,False,129,104,1,Denver Nuggets,Golden State Warriors,DEN,GSW,124.57142857142857,113.57142857142857,11.0,0.7142857142857143,117.44444444444444,115.33333333333333,2.1111111111111143,0.5555555555555556,2025-11-07
131,False,101,132,0,Sacramento Kings,Oklahoma City Thunder,SAC,OKC,116.875,120.375,-3.5,0.375,122.22222222222223,110.66666666666667,11.555555555555557,0.8888888888888888,2025-11-07
132,False,105,111,0,Washington Wizards,Dallas Mavericks,WAS,DAL,112.11111111111111,130.33333333333334,-18.22222222222223,0.1111111111111111,106.0,114.22222222222223,-8.222222222222229,0.2222222222222222,2025-11-08
133,False,130,120,1,Philadelphia 76ers,Toronto Raptors,PHI,TOR,123.25,119.25,4.0,0.625,119.22222222222223,115.66666666666667,3.555555555555557,0.5555555555555556,2025-11-08
134,False,122,102,1,Atlanta Hawks,Los Angeles Lakers,ATL,LAL,114.44444444444444,116.44444444444444,-2.0,0.4444444444444444,119.55555555555556,116.55555555555556,3.0,0.7777777777777778,2025-11-08
135,False,128,122,1,Cleveland Cavaliers,Chicago Bulls,CLE,CHI,119.88888888888889,114.66666666666667,5.222222222222214,0.6666666666666666,119.125,116.875,2.25,0.75,2025-11-08
136,False,136,131,1,Miami Heat,Portland Trail Blazers,MIA,POR,122.77777777777777,116.55555555555556,6.222222222222214,0.5555555555555556,120.375,117.75,2.625,0.625,2025-11-08
137,False,126,119,1,San Antonio Spurs,New Orleans Pelicans,SAS,NOP,118.25,109.625,8.625,0.75,107.875,120.75,-12.875,0.25,2025-11-08
138,False,117,100,1,Denver Nuggets,Indiana Pacers,DEN,IND,125.125,112.375,12.75,0.75,111.625,119.5,-7.875,0.125,2025-11-08
139,False,103,114,0,LA Clippers,Phoenix Suns,LAC,PHX,110.5,115.125,-4.625,0.375,116.66666666666667,118.22222222222223,-1.5555555555555571,0.4444444444444444,2025-11-08
140,False,115,122,0,Milwaukee Bucks,Houston Rockets,MIL,HOU,120.55555555555556,118.11111111111111,2.444444444444443,0.6666666666666666,122.875,112.875,10.0,0.625,2025-11-09
141,False,134,98,1,New York Knicks,Brooklyn Nets,NYK,BKN,118.875,113.625,5.25,0.625,111.33333333333333,124.55555555555556,-13.222222222222229,0.1111111111111111,2025-11-09
142,False,107,111,0,Orlando Magic,Boston Celtics,ORL,BOS,117.0,116.77777777777777,0.22222222222222854,0.4444444444444444,113.0,110.7,2.299999999999997,0.4,2025-11-09
143,False,100,114,0,Memphis Grizzlies,Oklahoma City Thunder,MEM,OKC,115.1,119.1,-4.0,0.4,123.2,109.7,13.5,0.9,2025-11-09
144,False,108,111,0,Philadelphia 76ers,Detroit Pistons,PHI,DET,124.0,119.33333333333333,4.666666666666671,0.6666666666666666,116.66666666666667,110.77777777777777,5.8888888888889,0.7777777777777778,2025-11-09
145,False,114,83,1,Golden State Warriors,Indiana Pacers,GSW,IND,116.1,116.7,-0.6000000000000085,0.5,110.33333333333333,119.22222222222223,-8.8888888888889,0.1111111111111111,2025-11-09
146,False,117,144,0,Sacramento Kings,Minnesota Timberwolves,SAC,MIN,115.11111111111111,121.66666666666667,-6.555555555555557,0.3333333333333333,118.77777777777777,115.88888888888889,2.8888888888888857,0.5555555555555556,2025-11-09
147,False,111,121,0,Charlotte Hornets,Los Angeles Lakers,CHA,LAL,119.0,121.0,-2.0,0.3333333333333333,117.8,117.1,0.7000000000000028,0.7,2025-11-10
148,False,137,135,1,Detroit Pistons,Washington Wizards,DET,WAS,116.1,110.5,5.599999999999994,0.8,111.4,128.4,-17.0,0.1,2025-11-10
149,False,115,112,1,Orlando Magic,Portland Trail Blazers,ORL,POR,116.0,116.2,-0.20000000000000284,0.4,121.55555555555556,119.77777777777777,1.7777777777777857,0.5555555555555556,2025-11-10
150,False,140,138,1,Miami Heat,Cleveland Cavaliers,MIA,CLE,124.1,118.0,6.099999999999994,0.6,120.7,115.4,5.299999999999997,0.7,2025-11-10
151,False,117,121,0,Chicago Bulls,San Antonio Spurs,CHI,SAS,119.44444444444444,118.11111111111111,1.3333333333333286,0.6666666666666666,119.11111111111111,110.66666666666667,8.444444444444443,0.7777777777777778,2025-11-10
152,False,114,116,0,Dallas Mavericks,Milwaukee Bucks,DAL,MIL,106.5,113.3,-6.799999999999997,0.3,120.0,118.5,1.5,0.6,2025-11-10
153,False,121,98,1,Phoenix Suns,New Orleans Pelicans,PHX,NOP,116.4,116.7,-0.29999999999999716,0.5,109.11111111111111,121.33333333333333,-12.222222222222214,0.2222222222222222,2025-11-10
154,False,113,120,0,Utah Jazz,Minnesota Timberwolves,UTA,MIN,112.11111111111111,120.11111111111111,-8.0,0.3333333333333333,121.3,116.0,5.299999999999997,0.6,2025-11-10
